时间t	称重电压
46.2500	0.00020073
46.5000	0.00020070
46.7500	0.00020088
47.0000	0.00020084
47.2500	0.00020069
47.5000	0.00020082
47.7500	0.00020081
48.0000	0.00020087
48.2500	0.00020089
48.5000	0.00020079
48.7500	0.00020077
49.0000	0.00020073
49.2500	0.00020079
49.5000	0.00020081
49.7500	0.00020068
50.0000	0.00020064
50.2500	0.00020081
50.5000	0.00020083
50.7500	0.00020085
51.0000	0.00020075
51.2500	0.00020074
51.5000	0.00020081
51.7500	0.00020083
52.0000	0.00020075
52.2500	0.00020072
52.5000	0.00020089
52.7500	0.00020073
53.0000	0.00020080
53.2500	0.00020074
53.5000	0.00020075
53.7500	0.00020081
54.0000	0.00020073
54.2500	0.00020081
54.5000	0.00020072
54.7500	0.00020073
55.0000	0.00020072
55.2500	0.00020076
55.5000	0.00020085
55.7500	0.00020070
56.0000	0.00020075
56.2500	0.00020071
56.5000	0.00020083
56.7500	0.00020075
57.0000	0.00020077
57.2500	0.00020068
57.5000	0.00020080
57.7500	0.00020078
58.0000	0.00020071
58.2500	0.00020083
58.5000	0.00020072
58.7500	0.00020082
59.0000	0.00020076
59.2500	0.00020079
59.5000	0.00020076
59.7500	0.00020078
60.0000	0.00020082
60.2500	0.00020084
60.5000	0.00020081
60.7500	0.00020088
61.0000	0.00020080
61.2500	0.00020083
61.5000	0.00020096
61.7500	0.00020077
62.0000	0.00020069
62.2500	0.00020082
62.5000	0.00020072
62.7500	0.00020075
63.0000	0.00020070
63.2500	0.00020081
63.5000	0.00020075
63.7500	0.00020084
64.0000	0.00020075
64.2500	0.00020079
64.5000	0.00020085
