时间t	称重电压
238.0000	-0.00022189
238.2500	-0.00022184
238.5000	-0.00022190
238.7500	-0.00022187
239.0000	-0.00022190
239.2500	-0.00022193
239.5000	-0.00022196
239.7500	-0.00022190
240.0000	-0.00022413
240.2500	-0.00022113
240.5000	-0.00021635
240.7500	-0.00021205
241.0000	-0.00021195
241.2500	-0.00021196
241.5000	-0.00021192
241.7500	-0.00021192
242.0000	-0.00021196
242.2500	-0.00021204
242.5000	-0.00021198
242.7500	-0.00021197
243.0000	-0.00021200
243.2500	-0.00021201
243.5000	-0.00021205
243.7500	-0.00021204
244.0000	-0.00021188
244.2500	-0.00021192
244.5000	-0.00021188
244.7500	-0.00021197
245.0000	-0.00021191
245.2500	-0.00021189
245.5000	-0.00021198
245.7500	-0.00021198
246.0000	-0.00021193
246.2500	-0.00021207
246.5000	-0.00021204
246.7500	-0.00022717
247.0000	-0.00022342
247.2500	-0.00023036
247.5000	-0.00023193
247.7500	-0.00023182
248.0000	-0.00023188
248.2500	-0.00023188
248.5000	-0.00023186
248.7500	-0.00023187
249.0000	-0.00023184
249.2500	-0.00023179
249.5000	-0.00023105
249.7500	-0.00023240
250.0000	-0.00023191
250.2500	-0.00023190
250.5000	-0.00023190
250.7500	-0.00023201
251.0000	-0.00023189
251.2500	-0.00023180
251.5000	-0.00023188
251.7500	-0.00023171
252.0000	-0.00023183
252.2500	-0.00023184
252.5000	-0.00023199
252.7500	-0.00023198
253.0000	-0.00023196
253.2500	-0.00023195
253.5000	-0.00023184
253.7500	-0.00023190
254.0000	-0.00023197
254.2500	-0.00023189
254.5000	-0.00023177
254.7500	-0.00023194
255.0000	-0.00023172
255.2500	-0.00023187
255.5000	-0.00023181
255.7500	-0.00023194
256.0000	-0.00023187
256.2500	-0.00023196
256.5000	-0.00023187
256.7500	-0.00023192
257.0000	-0.00023188
257.2500	-0.00023183
257.5000	-0.00023188
257.7500	-0.00023195
258.0000	-0.00023189
258.2500	-0.00023192
258.5000	-0.00023180
258.7500	-0.00023188
259.0000	-0.00023190
259.2500	-0.00023186
259.5000	-0.00023190
259.7500	-0.00023185
260.0000	-0.00023184
260.2500	-0.00023182
260.5000	-0.00023197
260.7500	-0.00023187
261.0000	-0.00023184
261.2500	-0.00023189
261.5000	-0.00023200
261.7500	-0.00023197
262.0000	-0.00023177
262.2500	-0.00023203
262.5000	-0.00023192
262.7500	-0.00023187
263.0000	-0.00023194
263.2500	-0.00023196
263.5000	-0.00023200
263.7500	-0.00023187
264.0000	-0.00023185
264.2500	-0.00023192
264.5000	-0.00023179
264.7500	-0.00023196
265.0000	-0.00023193
265.2500	-0.00023190
265.5000	-0.00023190
265.7500	-0.00023190
266.0000	-0.00023188
266.2500	-0.00023195
266.5000	-0.00023184
266.7500	-0.00023183
267.0000	-0.00023188
267.2500	-0.00023182
267.5000	-0.00023197
267.7500	-0.00023181
268.0000	-0.00023189
268.2500	-0.00023191
268.5000	-0.00023189
268.7500	-0.00023195
269.0000	-0.00023186
269.2500	-0.00023194
269.5000	-0.00023186
269.7500	-0.00023187
270.0000	-0.00023190
270.2500	-0.00023182
270.5000	-0.00023184
270.7500	-0.00023181
271.0000	-0.00023176
271.2500	-0.00023191
271.5000	-0.00023188
271.7500	-0.00023197
272.0000	-0.00023196
272.2500	-0.00023187
272.5000	-0.00023184
272.7500	-0.00023177
273.0000	-0.00023186
273.2500	-0.00023196
273.5000	-0.00023205
273.7500	-0.00023195
274.0000	-0.00023190
274.2500	-0.00023188
274.5000	-0.00023191
274.7500	-0.00023199
275.0000	-0.00023184
275.2500	-0.00023187
275.5000	-0.00023190
275.7500	-0.00023195
276.0000	-0.00023190
276.2500	-0.00023184
276.5000	-0.00023196
276.7500	-0.00023188
277.0000	-0.00023198
277.2500	-0.00023187
277.5000	-0.00023184
277.7500	-0.00023182
278.0000	-0.00023192
278.2500	-0.00023183
278.5000	-0.00023185
278.7500	-0.00023193
279.0000	-0.00023193
279.2500	-0.00023190
279.5000	-0.00023193
279.7500	-0.00023189
280.0000	-0.00023199
280.2500	-0.00023184
280.5000	-0.00023183
280.7500	-0.00023190
281.0000	-0.00023193
281.2500	-0.00023186
281.5000	-0.00023189
281.7500	-0.00023187
282.0000	-0.00023187
282.2500	-0.00023180
282.5000	-0.00023194
282.7500	-0.00023191
283.0000	-0.00023182
283.2500	-0.00023193
283.5000	-0.00023188
283.7500	-0.00023192
284.0000	-0.00023191
284.2500	-0.00023190
284.5000	-0.00023182
284.7500	-0.00023187
285.0000	-0.00023188
285.2500	-0.00023187
285.5000	-0.00023182
285.7500	-0.00023180
286.0000	-0.00023185
286.2500	-0.00023182
286.5000	-0.00023193
286.7500	-0.00023184
287.0000	-0.00023182
287.2500	-0.00023184
287.5000	-0.00023183
287.7500	-0.00023140
288.0000	-0.00024131
288.2500	-0.00021643
288.5000	-0.00021199
288.7500	-0.00021184
289.0000	-0.00021197
289.2500	-0.00021194
289.5000	-0.00021188
289.7500	-0.00021198
290.0000	-0.00021195
290.2500	-0.00021198
290.5000	-0.00021199
290.7500	-0.00021197
291.0000	-0.00021189
291.2500	-0.00021196
291.5000	-0.00021201
291.7500	-0.00021190
292.0000	-0.00021191
292.2500	-0.00021192
292.5000	-0.00021196
292.7500	-0.00021204
293.0000	-0.00021195
293.2500	-0.00021182
293.5000	-0.00021194
293.7500	-0.00021200
294.0000	-0.00021201
294.2500	-0.00021192
294.5000	-0.00021197
294.7500	-0.00021194
295.0000	-0.00021197
295.2500	-0.00021200
295.5000	-0.00021189
295.7500	-0.00021194
296.0000	-0.00021186
296.2500	-0.00021200
296.5000	-0.00021196
296.7500	-0.00021185
297.0000	-0.00021188
297.2500	-0.00021192
297.5000	-0.00021189
297.7500	-0.00021192
298.0000	-0.00021493
298.2500	-0.00021461
298.5000	-0.00021563
298.7500	-0.00021816
299.0000	-0.00019592
299.2500	-0.00019205
299.5000	-0.00019209
299.7500	-0.00019201
300.0000	-0.00019194
300.2500	-0.00019204
300.5000	-0.00019202
300.7500	-0.00019202
301.0000	-0.00019198
301.2500	-0.00019198
301.5000	-0.00019198
301.7500	-0.00019207
302.0000	-0.00019298
302.2500	-0.00018832
302.5000	-0.00019173
302.7500	-0.00019088
303.0000	-0.00018952
303.2500	-0.00018775
303.5000	-0.00019211
303.7500	-0.00019197
304.0000	-0.00020624
304.2500	-0.00019525
304.5000	-0.00019196
304.7500	-0.00019206
305.0000	-0.00019198
305.2500	-0.00019200
305.5000	-0.00019200
305.7500	-0.00019220
306.0000	-0.00021274
306.2500	-0.00020706
306.5000	-0.00019253
306.7500	-0.00019744
307.0000	-0.00019127
307.2500	-0.00019203
307.5000	-0.00019205
307.7500	-0.00019193
308.0000	-0.00020348
308.2500	-0.00018233
308.5000	-0.00017788
308.7500	-0.00014215
309.0000	-0.00014206
309.2500	-0.00014215
309.5000	-0.00014213
309.7500	-0.00014215
310.0000	-0.00014211
310.2500	-0.00014210
310.5000	-0.00014210
310.7500	-0.00014209
311.0000	-0.00014208
311.2500	-0.00014214
311.5000	-0.00014210
311.7500	-0.00014217
312.0000	-0.00014209
312.2500	-0.00014215
312.5000	-0.00014216
312.7500	-0.00014208
313.0000	-0.00014214
313.2500	-0.00014209
313.5000	-0.00014214
313.7500	-0.00014209
314.0000	-0.00014216
314.2500	-0.00014223
314.5000	-0.00014219
314.7500	-0.00014209
315.0000	-0.00014215
315.2500	-0.00014209
315.5000	-0.00014207
315.7500	-0.00023616
316.0000	-0.00023979
316.2500	-0.00026061
316.5000	-0.00028111
316.7500	-0.00030368
317.0000	-0.00024185
317.2500	-0.00024191
317.5000	-0.00024196
317.7500	-0.00024186
318.0000	-0.00024189
318.2500	-0.00024181
318.5000	-0.00024185
318.7500	-0.00024189
319.0000	-0.00024180
319.2500	-0.00024182
319.5000	-0.00024185
319.7500	-0.00024183
320.0000	-0.00024182
320.2500	-0.00024186
320.5000	-0.00024190
320.7500	-0.00024188
321.0000	-0.00024179
321.2500	-0.00024187
321.5000	-0.00024187
321.7500	-0.00024181
322.0000	-0.00024199
322.2500	-0.00024185
322.5000	-0.00024179
322.7500	-0.00024181
323.0000	-0.00024182
323.2500	-0.00024185
323.5000	-0.00024188
323.7500	-0.00024182
324.0000	-0.00024740
324.2500	-0.00025321
324.5000	-0.00025302
324.7500	-0.00025479
325.0000	-0.00025106
325.2500	-0.00025189
325.5000	-0.00025183
325.7500	-0.00025171
326.0000	-0.00025193
326.2500	-0.00025187
326.5000	-0.00025292
326.7500	-0.00025131
327.0000	-0.00025215
327.2500	-0.00025176
327.5000	-0.00025193
327.7500	-0.00025180
328.0000	-0.00025182
328.2500	-0.00025169
328.5000	-0.00025185
328.7500	-0.00025184
329.0000	-0.00025174
329.2500	-0.00025181
329.5000	-0.00025184
329.7500	-0.00025181
330.0000	-0.00025178
330.2500	-0.00025185
330.5000	-0.00025178
330.7500	-0.00025186
331.0000	-0.00025181
331.2500	-0.00025179
331.5000	-0.00025185
331.7500	-0.00025175
332.0000	-0.00025185
332.2500	-0.00025186
332.5000	-0.00025188
332.7500	-0.00025183
333.0000	-0.00025185
333.2500	-0.00025190
333.5000	-0.00025173
333.7500	-0.00025191
334.0000	-0.00025192
334.2500	-0.00025186
334.5000	-0.00025191
334.7500	-0.00025181
335.0000	-0.00025170
335.2500	-0.00025183
335.5000	-0.00025180
335.7500	-0.00025184
336.0000	-0.00025187
336.2500	-0.00025186
336.5000	-0.00025184
336.7500	-0.00025178
337.0000	-0.00025183
337.2500	-0.00025172
337.5000	-0.00025200
337.7500	-0.00025181
338.0000	-0.00025186
338.2500	-0.00025182
338.5000	-0.00025186
338.7500	-0.00025178
339.0000	-0.00025173
339.2500	-0.00025189
339.5000	-0.00025175
339.7500	-0.00025177
340.0000	-0.00025182
340.2500	-0.00025186
340.5000	-0.00025170
340.7500	-0.00025178
341.0000	-0.00025177
341.2500	-0.00025176
341.5000	-0.00025177
341.7500	-0.00025187
342.0000	-0.00025175
342.2500	-0.00025193
342.5000	-0.00025181
342.7500	-0.00025190
343.0000	-0.00025188
343.2500	-0.00025182
343.5000	-0.00025180
343.7500	-0.00025181
344.0000	-0.00025183
344.2500	-0.00025181
344.5000	-0.00025181
344.7500	-0.00025189
345.0000	-0.00025187
345.2500	-0.00025178
345.5000	-0.00025180
345.7500	-0.00025167
346.0000	-0.00025189
346.2500	-0.00025193
346.5000	-0.00025177
346.7500	-0.00025182
347.0000	-0.00025187
347.2500	-0.00025187
347.5000	-0.00025180
347.7500	-0.00025188
348.0000	-0.00025183
348.2500	-0.00025190
348.5000	-0.00025186
348.7500	-0.00025175
349.0000	-0.00025187
349.2500	-0.00025176
349.5000	-0.00025175
349.7500	-0.00025190
350.0000	-0.00025176
350.2500	-0.00025179
350.5000	-0.00025189
350.7500	-0.00025180
351.0000	-0.00025186
351.2500	-0.00025191
351.5000	-0.00025181
351.7500	-0.00025168
352.0000	-0.00025178
352.2500	-0.00025176
352.5000	-0.00025185
352.7500	-0.00025177
353.0000	-0.00025174
353.2500	-0.00025185
353.5000	-0.00025178
353.7500	-0.00025193
354.0000	-0.00025188
354.2500	-0.00025184
354.5000	-0.00025180
354.7500	-0.00025180
355.0000	-0.00025190
355.2500	-0.00025182
355.5000	-0.00025177
355.7500	-0.00025183
356.0000	-0.00025183
356.2500	-0.00025179
356.5000	-0.00025180
356.7500	-0.00025177
357.0000	-0.00025182
357.2500	-0.00025187
357.5000	-0.00025191
357.7500	-0.00025185
358.0000	-0.00025187
358.2500	-0.00025172
358.5000	-0.00025177
358.7500	-0.00025178
359.0000	-0.00025185
359.2500	-0.00025181
359.5000	-0.00025182
359.7500	-0.00025176
360.0000	-0.00025195
360.2500	-0.00025178
360.5000	-0.00025179
360.7500	-0.00025186
361.0000	-0.00025189
361.2500	-0.00025176
361.5000	-0.00025174
361.7500	-0.00025186
362.0000	-0.00025187
362.2500	-0.00025181
362.5000	-0.00025181
362.7500	-0.00025187
363.0000	-0.00025189
363.2500	-0.00025177
363.5000	-0.00025185
363.7500	-0.00025182
364.0000	-0.00025174
364.2500	-0.00025183
364.5000	-0.00025175
364.7500	-0.00025183
365.0000	-0.00025187
365.2500	-0.00025183
365.5000	-0.00025178
365.7500	-0.00025176
366.0000	-0.00025183
366.2500	-0.00025178
366.5000	-0.00025181
366.7500	-0.00025184
367.0000	-0.00025189
367.2500	-0.00025183
367.5000	-0.00025173
367.7500	-0.00025180
368.0000	-0.00025175
368.2500	-0.00025178
368.5000	-0.00025176
368.7500	-0.00025182
369.0000	-0.00025180
369.2500	-0.00025196
369.5000	-0.00025186
369.7500	-0.00025187
370.0000	-0.00025192
370.2500	-0.00025193
370.5000	-0.00025186
370.7500	-0.00025186
371.0000	-0.00025178
371.2500	-0.00025181
371.5000	-0.00025183
371.7500	-0.00025188
372.0000	-0.00025181
372.2500	-0.00025189
372.5000	-0.00025195
372.7500	-0.00025178
373.0000	-0.00025189
373.2500	-0.00025172
373.5000	-0.00025187
373.7500	-0.00025187
374.0000	-0.00025183
374.2500	-0.00025180
374.5000	-0.00025183
374.7500	-0.00025184
375.0000	-0.00026762
375.2500	-0.00027201
375.5000	-0.00027460
375.7500	-0.00027098
376.0000	-0.00026982
376.2500	-0.00027176
376.5000	-0.00027173
376.7500	-0.00027172
377.0000	-0.00027175
377.2500	-0.00027177
377.5000	-0.00027171
377.7500	-0.00027175
378.0000	-0.00027188
378.2500	-0.00027177
378.5000	-0.00027175
378.7500	-0.00027192
379.0000	-0.00027167
379.2500	-0.00027173
379.5000	-0.00027183
379.7500	-0.00027177
