Time	Voltage
219.7500	0.00035393
220.0000	0.00035290
220.2500	0.00035296
220.5000	0.00035224
220.7500	0.00035389
221.0000	0.00035340
221.2500	0.00035306
221.5000	0.00035269
221.7500	0.00035327
222.0000	0.00035274
222.2500	0.00035312
222.5000	0.00035356
222.7500	0.00035394
223.0000	0.00035342
223.2500	0.00035295
223.5000	0.00035273
223.7500	0.00035267
224.0000	0.00035336
224.2500	0.00035245
224.5000	0.00035274
224.7500	0.00035190
225.0000	0.00035229
225.2500	0.00035379
225.5000	0.00035329
225.7500	0.00035178
226.0000	0.00035292
226.2500	0.00035229
226.5000	0.00035452
226.7500	0.00035202
227.0000	0.00035147
227.2500	0.00035282
227.5000	0.00035243
227.7500	0.00035278
228.0000	0.00035163
228.2500	0.00035287
228.5000	0.00035232
228.7500	0.00035106
229.0000	0.00035189
229.2500	0.00035267
229.5000	0.00035277
229.7500	0.00035170
230.0000	0.00035319
230.2500	0.00035103
230.5000	0.00035220
230.7500	0.00035019
231.0000	0.00035439
231.2500	0.00035167
231.5000	0.00035177
231.7500	0.00035045
232.0000	0.00035257
232.2500	0.00035144
232.5000	0.00035026
232.7500	0.00035292
233.0000	0.00035114
233.2500	0.00035128
233.5000	0.00035080
233.7500	0.00035197
234.0000	0.00035094
234.2500	0.00035096
234.5000	0.00035085
234.7500	0.00035255
235.0000	0.00035091
235.2500	0.00035124
235.5000	0.00035142
235.7500	0.00035111
236.0000	0.00035122
236.2500	0.00035122
236.5000	0.00035118
236.7500	0.00035112
237.0000	0.00035115
237.2500	0.00035098
237.5000	0.00035109
237.7500	0.00035113
238.0000	0.00035104
238.2500	0.00035105
238.5000	0.00035100
238.7500	0.00035099
239.0000	0.00035101
239.2500	0.00035102
239.5000	0.00035110
239.7500	0.00035094
240.0000	0.00035110
240.2500	0.00035094
240.5000	0.00035101
240.7500	0.00035099
241.0000	0.00035091
241.2500	0.00035092
241.5000	0.00035091
241.7500	0.00035089
242.0000	0.00035093
242.2500	0.00035105
242.5000	0.00035102
242.7500	0.00035090
243.0000	0.00035091
243.2500	0.00035087
243.5000	0.00035103
243.7500	0.00035089
244.0000	0.00035085
