    °C	        No	    CH0	            CH1	            CH2	            CH3
23.584	52	0.1151894400	2765.1652553776	0.5113698549	-0.1655912498
23.601	53	0.1151965925	2763.2163621912	0.5113293237	-0.1656173566
23.607	54	0.1151990959	2761.2511969358	0.5112873621	-0.1656450132
23.620	55	0.1152044603	2759.2722630067	0.5112462348	-0.1656791071
23.634	56	0.1152099440	2757.2789345550	0.5112051076	-0.1657091478
23.641	57	0.1152130434	2755.2718374295	0.5111630268	-0.1657354930
23.653	58	0.1152179310	2753.2497199327	0.5111191577	-0.1657655338
23.666	59	0.1152232954	2751.2088269716	0.5110768384	-0.1657930711
23.676	60	0.1152272293	2749.1547911855	0.5110339231	-0.1658207277
23.688	61	0.1152322361	2747.0876125746	0.5109883851	-0.1658470729
23.706	62	0.1152393887	2745.0066652898	0.5109472579	-0.1658687690
23.718	63	0.1152445147	2742.9163302729	0.5109016008	-0.1659017900
23.739	64	0.1152529785	2740.8078456407	0.5108585662	-0.1659249166
23.754	65	0.1152590582	2738.6855923346	0.5108152932	-0.1659488777
23.768	66	0.1152650187	2736.5483186572	0.5107697553	-0.1659696201
23.784	67	0.1152713368	2734.4029089453	0.5107244558	-0.1659928659
23.795	68	0.1152761051	2732.2393496179	0.5106808252	-0.1660143236
23.803	69	0.1152790854	2730.0714093489	0.5106334991	-0.1660363773
23.815	70	0.1152840921	2727.8809385229	0.5105897493	-0.1660622457
23.832	71	0.1152912447	2725.6842092087	0.5105411119	-0.1660833458
23.850	72	0.1152983973	2723.4699561280	0.5104955739	-0.1661062340
23.871	73	0.1153069803	2721.2450636175	0.5104490823	-0.1661305527
23.880	74	0.1153109142	2719.0089058285	0.5104013986	-0.1661524872
23.898	75	0.1153181860	2716.7639861562	0.5103547877	-0.1661784748
23.917	76	0.1153256962	2714.5009168685	0.5103071040	-0.1662008861
23.933	77	0.1153322527	2712.2297115463	0.5102596587	-0.1662198404
23.949	78	0.1153389284	2709.9422341551	0.5102092332	-0.1662449936
23.965	79	0.1153457234	2707.6447431829	0.5101608342	-0.1662676433
23.983	80	0.1153528759	2705.3366127811	0.5101118392	-0.1662912468
24.000	81	0.1153599093	2703.0134620078	0.5100654668	-0.1663221220
24.016	82	0.1153665850	2700.6878078394	0.5100157565	-0.1663498978
24.036	83	0.1153745720	2698.3389972650	0.5099669999	-0.1663740973
24.055	84	0.1153823206	2695.9864315979	0.5099144286	-0.1664058069
24.079	85	0.1153922150	2693.6257298962	0.5098649567	-0.1664255957
24.094	86	0.1153985331	2691.2518853695	0.5098147696	-0.1664484839
24.113	87	0.1154061625	2688.8592653787	0.5097642249	-0.1664670805
24.124	88	0.1154108116	2686.4660195390	0.5097134417	-0.1664790014
