    °C	        No	    CH0	            CH1	            CH2	            CH3
39.475	680	0.1216800285	1370.9305745918	0.4702858013	-0.1736672028
39.489	681	0.1216856314	1369.6419518973	0.4702282232	-0.1736731633
39.515	682	0.1216962410	1368.3552067492	0.4701725525	-0.1736774548
39.533	683	0.1217035128	1367.0747200891	0.4701112789	-0.1736782893
39.554	684	0.1217120958	1365.7936075803	0.4700554889	-0.1736805543
39.579	685	0.1217225863	1364.5175018619	0.4699963611	-0.1736881836
39.603	686	0.1217320038	1363.2413961435	0.4699374717	-0.1736914023
39.625	687	0.1217413021	1361.9684196692	0.4698807281	-0.1736960515
39.650	688	0.1217514349	1360.7010758341	0.4698239845	-0.1737022503
39.667	689	0.1217582298	1359.4337319990	0.4697662872	-0.1737099989
39.687	690	0.1217662169	1358.1651364663	0.4697073978	-0.1737151249
39.715	691	0.1217777802	1356.9040511193	0.4696516079	-0.1737194165
39.735	692	0.1217861248	1355.6479725628	0.4695940298	-0.1737225159
39.760	693	0.1217962576	1354.3850096694	0.4695352596	-0.1737265690
39.774	694	0.1218017412	1353.1333120545	0.4694770854	-0.1737432583
39.794	695	0.1218100859	1351.8822402884	0.4694221300	-0.1737454041
39.817	696	0.1218195034	1350.6317943711	0.4693647903	-0.1737487420
39.845	697	0.1218308283	1349.3826001515	0.4693069738	-0.1737520798
39.862	698	0.1218377424	1348.1427936639	0.4692499917	-0.1737605437
39.884	699	0.1218466831	1346.8979803859	0.4691932481	-0.1737669810
39.905	700	0.1218551470	1345.6587997472	0.4691354316	-0.1737731799
39.930	701	0.1218652798	1344.4240000501	0.4690789264	-0.1737816437
39.950	702	0.1218733860	1343.1860711089	0.4690196794	-0.1737882002
39.976	703	0.1218839956	1341.9537748071	0.4689642470	-0.1737914189
39.997	704	0.1218928171	1340.7258594469	0.4689086955	-0.1737973794
40.018	705	0.1219011618	1339.4966923891	0.4688529056	-0.1738017901
40.035	706	0.1219080759	1338.2725321217	0.4687949698	-0.1738075122
40.058	707	0.1219176127	1337.0502494007	0.4687395375	-0.1738116845
40.077	708	0.1219251229	1335.8354768655	0.4686789792	-0.1738176449
40.097	709	0.1219334675	1334.6138199934	0.4686241429	-0.1738219365
40.120	710	0.1219430042	1333.3996733069	0.4685682338	-0.1738282546
40.136	711	0.1219492031	1332.1874041669	0.4685119670	-0.1738354071
40.165	712	0.1219610049	1330.9763867245	0.4684542697	-0.1738424405
40.186	713	0.1219697071	1329.7716277702	0.4683985989	-0.1738484009
40.214	714	0.1219809128	1328.5687463623	0.4683419745	-0.1738549575
40.231	715	0.1219881846	1327.3696200472	0.4682849925	-0.1738623484
40.257	716	0.1219986750	1326.1704937321	0.4682288449	-0.1738702162
40.276	717	0.1220064236	1324.9701157194	0.4681737702	-0.1738726004
40.302	718	0.1220170332	1323.7778737413	0.4681176226	-0.1738742694
40.326	719	0.1220265700	1322.5875093095	0.4680633824	-0.1738758191
40.342	720	0.1220333649	1321.3971448777	0.4680078309	-0.1738827332
40.358	721	0.1220395638	1320.2092838412	0.4679518025	-0.1738830908
40.374	722	0.1220463587	1319.0239261999	0.4678960125	-0.1738865479
40.394	723	0.1220544649	1317.8442011979	0.4678408186	-0.1738854750
40.417	724	0.1220637633	1316.6632244982	0.4677840750	-0.1738864287
40.442	725	0.1220737768	1315.4822477986	0.4677287619	-0.1738898858
40.464	726	0.1220829560	1314.3125363775	0.4676723759	-0.1738894089
40.486	727	0.1220917774	1313.1409474099	0.4676150362	-0.1738911971
40.505	728	0.1220995261	1311.9706101400	0.4675604384	-0.1738941773
40.526	729	0.1221081091	1310.8034021141	0.4675067942	-0.1738926276
40.547	730	0.1221169306	1309.6349423906	0.4674524347	-0.1738895281
40.566	731	0.1221245600	1308.4739928528	0.4673949759	-0.1738888129
40.592	732	0.1221350504	1307.3136691638	0.4673403780	-0.1738865479
40.606	733	0.1221406533	1306.1564747188	0.4672835152	-0.1738861903
40.632	734	0.1221515013	1305.0011578203	0.4672286789	-0.1738835677
40.652	735	0.1221593691	1303.8464667706	0.4671753923	-0.1738820180
40.670	736	0.1221669985	1302.6949049649	0.4671188871	-0.1738771304
40.698	737	0.1221782042	1301.5470982520	0.4670642893	-0.1738764151
40.721	738	0.1221877409	1300.4011690856	0.4670084993	-0.1738779648
40.740	739	0.1221953703	1299.2564916168	0.4669542591	-0.1738791569
40.756	740	0.1222020460	1298.1124399967	0.4668997804	-0.1738808259
40.782	741	0.1222122980	1296.9771502600	0.4668423216	-0.1738789185
40.794	742	0.1222174240	1295.8362278841	0.4667891542	-0.1738813027
40.807	743	0.1222226693	1294.7021898450	0.4667349140	-0.1738870248
40.835	744	0.1222338749	1293.5712810499	0.4666793625	-0.1739074095
40.854	745	0.1222418620	1292.4453790453	0.4666241686	-0.1738997801
40.883	746	0.1222536637	1291.3188511919	0.4665681402	-0.1738972768
40.894	747	0.1222580744	1290.1866906993	0.4665152113	-0.1738960847
40.914	748	0.1222661807	1289.0645437875	0.4664593021	-0.1738988265
40.937	749	0.1222754790	1287.9423968758	0.4664055387	-0.1738984688
40.960	750	0.1222848965	1286.8283859985	0.4663499872	-0.1738988265
40.978	751	0.1222924067	1285.7143751213	0.4662968198	-0.1739018067
41.000	752	0.1223012282	1284.5997383952	0.4662444869	-0.1739053830
41.025	753	0.1223115994	1283.4819724251	0.4661890546	-0.1739100321
41.039	754	0.1223170830	1282.3723424895	0.4661339799	-0.1739148005
41.066	755	0.1223279311	1281.2683451932	0.4660803357	-0.1739150389
41.078	756	0.1223331763	1280.1612186528	0.4660271684	-0.1739226683
41.108	757	0.1223452164	1279.0616022981	0.4659741203	-0.1739283904
41.125	758	0.1223521306	1277.9619859434	0.4659170190	-0.1739275559
41.151	759	0.1223626210	1276.8611178911	0.4658667127	-0.1739354237
41.166	760	0.1223688199	1275.7658824781	0.4658123532	-0.1739428147
41.183	761	0.1223758532	1274.6712729139	0.4657571593	-0.1739516362
41.206	762	0.1223851515	1273.5791667449	0.4657038728	-0.1739583119
41.222	763	0.1223915888	1272.4901898199	0.4656513015	-0.1739634379
41.244	764	0.1224005295	1271.3999611974	0.4655988494	-0.1739678487
41.260	765	0.1224069668	1270.3166169117	0.4655441323	-0.1739726170
41.285	766	0.1224172188	1269.2338984748	0.4654897729	-0.1739773854
41.310	767	0.1224274708	1268.1574385260	0.4654362479	-0.1739907368
41.325	768	0.1224334313	1267.0740942403	0.4653826037	-0.1740100487
41.349	769	0.1224435641	1266.0013893844	0.4653305093	-0.1740126714
41.375	770	0.1224541737	1264.9299362260	0.4652766267	-0.1740167245
41.393	771	0.1224613263	1263.8528504284	0.4652228633	-0.1740200623
41.409	772	0.1224680020	1262.7857782117	0.4651707688	-0.1740274533
41.433	773	0.1224775387	1261.7136992045	0.4651162902	-0.1740310296
41.443	774	0.1224814726	1260.6547630223	0.4650650302	-0.1740371093
41.458	775	0.1224876715	1259.5889425033	0.4650110284	-0.1740495070
41.488	776	0.1225001885	1258.5287546235	0.4649589339	-0.1740449771
41.505	777	0.1225071026	1257.4698184413	0.4649056473	-0.1740468844
41.522	778	0.1225137784	1256.4140115031	0.4648525992	-0.1740529641
41.549	779	0.1225248648	1255.3575787161	0.4648009816	-0.1740594014
41.573	780	0.1225346400	1254.3086561149	0.4647481719	-0.1740675076
41.587	781	0.1225402428	1253.2559784207	0.4646959582	-0.1740701302
41.608	782	0.1225487067	1252.2058041218	0.4646433869	-0.1740768060
41.614	783	0.1225514485	1251.1606366134	0.4645917693	-0.1740814551
41.641	784	0.1225622965	1250.1185983490	0.4645403900	-0.1740874156
41.671	785	0.1225745751	1249.0759342358	0.4644848385	-0.1740909919
41.687	786	0.1225811316	1248.0338959714	0.4644328633	-0.1740965947
41.700	787	0.1225863768	1247.0006195903	0.4643807688	-0.1741031512
41.729	788	0.1225979401	1245.9610847212	0.4643267670	-0.1741083964
41.741	789	0.1226030661	1244.9290600377	0.4642747917	-0.1741259202
41.762	790	0.1226116492	1243.9020421447	0.4642241278	-0.1741356953
41.787	791	0.1226216628	1242.8681399148	0.4641715565	-0.1741345033
41.803	792	0.1226282193	1241.8423737194	0.4641211310	-0.1741371259
41.823	793	0.1226362063	1240.8141041287	0.4640674868	-0.1741383180
41.839	794	0.1226427628	1239.7952222702	0.4640162268	-0.1741417750
41.863	795	0.1226525380	1238.7725853188	0.4639640131	-0.1741449937
41.880	796	0.1226594521	1237.7568327044	0.4639120378	-0.1741479739
41.894	797	0.1226654126	1236.7392025434	0.4638600626	-0.1741521462
41.915	798	0.1226737572	1235.7253274754	0.4638079681	-0.1741646632
41.938	799	0.1226830556	1234.7114524073	0.4637570658	-0.1741628751
41.955	800	0.1226902081	1233.7032099785	0.4637061634	-0.1741902932
41.982	801	0.1227009370	1232.6918383057	0.4636551418	-0.1742245063
41.995	802	0.1227065398	1231.6842217257	0.4636028089	-0.1742088899
42.021	803	0.1227169110	1230.6791085410	0.4635496416	-0.1741995915
42.036	804	0.1227232291	1229.6802538443	0.4635001697	-0.1741935119
42.059	805	0.1227324082	1228.6795216012	0.4634496250	-0.1741904124
42.075	806	0.1227392031	1227.6850478461	0.4633950271	-0.1741863593
42.092	807	0.1227461173	1226.6855673007	0.4633417406	-0.1741970881
42.118	808	0.1227564885	1225.6898418480	0.4632920303	-0.1742006644
42.140	809	0.1227655484	1224.6959939418	0.4632411279	-0.1741937503
42.163	810	0.1227748467	1223.7052752796	0.4631891527	-0.1741916045
42.180	811	0.1227817609	1222.7070464317	0.4631369390	-0.1741923198
42.195	812	0.1227878405	1221.7025590958	0.4630855598	-0.1741883859
42.217	813	0.1227970196	1220.6792962956	0.4630326309	-0.1741888627
42.237	814	0.1228048875	1219.6403872752	0.4629787483	-0.1741886243
42.263	815	0.1228154971	1218.6002265573	0.4629258193	-0.1741877898
42.282	816	0.1228233649	1217.5575624441	0.4628701486	-0.1741888627
42.311	817	0.1228349282	1216.5086398428	0.4628150739	-0.1741882666
42.337	818	0.1228455378	1215.4647240320	0.4627611913	-0.1741837367
42.348	819	0.1228503062	1214.4126721867	0.4627067126	-0.1741736039
42.378	820	0.1228624656	1213.3612461901	0.4626505651	-0.1741821870
42.400	821	0.1228712870	1212.3129494377	0.4625937022	-0.1741973266
42.421	822	0.1228799893	1211.2583941971	0.4625383891	-0.1741950616
42.443	823	0.1228889300	1210.2057165030	0.4624811687	-0.1741888627
42.463	824	0.1228971555	1209.1517871113	0.4624256171	-0.1741849288
42.493	825	0.1229093148	1208.0947284755	0.4623692311	-0.1741626366
42.507	826	0.1229147984	1207.0364181421	0.4623122491	-0.1741566762
42.526	827	0.1229227855	1205.9768561111	0.4622575320	-0.1741739615
42.549	828	0.1229319646	1204.9166682313	0.4622024573	-0.1741798028
42.572	829	0.1229413821	1203.8508477122	0.4621438063	-0.1741885051
42.602	830	0.1229536607	1202.7950407740	0.4620856322	-0.1741979226
42.628	831	0.1229640319	1201.7229617669	0.4620279349	-0.1742043599
42.650	832	0.1229732110	1200.6527603062	0.4619705952	-0.1741886243
42.671	833	0.1229817941	1199.5856880895	0.4619106330	-0.1741701468
42.707	834	0.1229963376	1198.5123573847	0.4618548430	-0.1741583451
42.722	835	0.1230024173	1197.4384008311	0.4617980994	-0.1741595372
42.758	836	0.1230170800	1196.3688252192	0.4617374219	-0.1741715773
42.772	837	0.1230226828	1195.2911135728	0.4616797246	-0.1741799220
42.796	838	0.1230324580	1194.2152794728	0.4616247691	-0.1741786107
42.814	839	0.1230397298	1193.1356902799	0.4615630187	-0.1741722926
42.843	840	0.1230515315	1192.0473392038	0.4615071095	-0.1741712197
42.861	841	0.1230588033	1190.9621173717	0.4614466704	-0.1741716966
42.888	842	0.1230697705	1189.8731404467	0.4613888539	-0.1741600140
42.916	843	0.1230814530	1188.7810342777	0.4613276995	-0.1741521462
42.939	844	0.1230906321	1187.6883022599	0.4612685717	-0.1741575106
42.960	845	0.1230992152	1186.5986994862	0.4612120665	-0.1741656169
42.987	846	0.1231104209	1185.4984572827	0.4611513890	-0.1741544112
43.008	847	0.1231186463	1184.4038477185	0.4610904730	-0.1741438016
43.037	848	0.1231308057	1183.3098640031	0.4610306299	-0.1741476163
43.066	849	0.1231422498	1182.2058667067	0.4609698332	-0.1741563186
43.083	850	0.1231495215	1181.1075020497	0.4609111822	-0.1741638287
43.106	851	0.1231588199	1180.0028789045	0.4608493126	-0.1741551265
43.132	852	0.1231691911	1178.9026367010	0.4607898272	-0.1741575106
43.164	853	0.1231821849	1177.7961360095	0.4607309378	-0.1741565570
43.184	854	0.1231905295	1176.6908870155	0.4606701410	-0.1741585835
43.209	855	0.1232006623	1175.5831346263	0.4606093443	-0.1741759881
43.239	856	0.1232128217	1174.4735046907	0.4605468786	-0.1741838559
43.264	857	0.1232231929	1173.3576162671	0.4604834593	-0.1741781339
43.287	858	0.1232324912	1172.2486121803	0.4604240930	-0.1741792067
43.315	859	0.1232435777	1171.1352271518	0.4603632963	-0.1741830214
43.339	860	0.1232535913	1170.0193387282	0.4603007114	-0.1741854056
43.367	861	0.1232647969	1168.9047020021	0.4602381265	-0.1741749152
43.392	862	0.1232749297	1167.7850584856	0.4601776874	-0.1741737231
43.419	863	0.1232858970	1166.6622857250	0.4601130760	-0.1742422685
43.452	864	0.1232993676	1165.5451456037	0.4600509679	-0.1744006976
43.470	865	0.1233067586	1164.4286313312	0.4599902904	-0.1743269071
43.496	866	0.1233172490	1163.3046068731	0.4599284208	-0.1742733821
43.527	867	0.1233302428	1162.1812082637	0.4598663127	-0.1742507323
43.554	868	0.1233408525	1161.0590613520	0.4598036086	-0.1742328509
43.574	869	0.1233491971	1159.9356627426	0.4597397125	-0.1742326125
43.602	870	0.1233605220	1158.8103865868	0.4596761739	-0.1742383346
43.622	871	0.1233688666	1157.6869879774	0.4596137082	-0.1742405995
43.655	872	0.1233819797	1156.5617118217	0.4595531499	-0.1742419108
43.678	873	0.1233913972	1155.4320547242	0.4594872272	-0.1742701634
43.702	874	0.1234011724	1154.3011459292	0.4594252383	-0.1742575272
43.724	875	0.1234103515	1153.1664820413	0.4593626535	-0.1742415532
43.749	876	0.1234204843	1152.0349473974	0.4592955386	-0.1742627725
43.779	877	0.1234325244	1150.9052903000	0.4592334306	-0.1742696866
43.810	878	0.1234450414	1149.7743815049	0.4591715610	-0.1742868527
43.838	879	0.1234564855	1148.6365883730	0.4591065919	-0.1742912635
43.866	880	0.1234679296	1147.5050537291	0.4590417420	-0.1742898330
43.888	881	0.1234769895	1146.3597504115	0.4589772498	-0.1742961511
43.917	882	0.1234889104	1145.2263382212	0.4589127576	-0.1743093833
43.945	883	0.1235003545	1144.0816607524	0.4588490998	-0.1743041381
43.972	884	0.1235110833	1142.9488744109	0.4587841307	-0.1743114098
44.003	885	0.1235236003	1141.8110812790	0.4587216651	-0.1743078336
44.023	886	0.1235320642	1140.6701589030	0.4586564576	-0.1743110522
44.046	887	0.1235413625	1139.5292365270	0.4585932767	-0.1743118867
44.077	888	0.1235539987	1138.3964501856	0.4585269963	-0.1743075952
44.093	889	0.1235605552	1137.2542761120	0.4584616696	-0.1742972239
44.127	890	0.1235743835	1136.1139795848	0.4583978926	-0.1742985352
44.159	891	0.1235872581	1134.9724313600	0.4583317315	-0.1742986545
44.189	892	0.1235994174	1133.8302572864	0.4582677161	-0.1743080720
44.217	893	0.1236109807	1132.6862056664	0.4582013165	-0.1743130788
44.240	894	0.1236201598	1131.5459091393	0.4581352745	-0.1743171319
44.271	895	0.1236329152	1130.4018575193	0.4580699478	-0.1743117675
44.302	896	0.1236454322	1129.2596834457	0.4580052172	-0.1743075952
44.330	897	0.1236568763	1128.1125025816	0.4579373871	-0.1742934092
44.355	898	0.1236670091	1126.9715802057	0.4578713452	-0.1743172511
44.388	899	0.1236803605	1125.8256510392	0.4578062569	-0.1744521960
44.414	900	0.1236909702	1124.6834769656	0.4577396189	-0.1744047507
44.436	901	0.1236999109	1123.5406770432	0.4576736961	-0.1743795976
44.475	902	0.1237156465	1122.3934961792	0.4576082502	-0.1743431195
44.495	903	0.1237241103	1121.2481928616	0.4575397049	-0.1743111714
44.526	904	0.1237363889	1120.1078963344	0.4574743782	-0.1743146285
44.550	905	0.1237461641	1118.9625930168	0.4574073826	-0.1743098601
44.583	906	0.1237596347	1117.8172896992	0.4573420559	-0.1743030652
44.610	907	0.1237707212	1116.6694829863	0.4572755371	-0.1743025884
44.639	908	0.1237826421	1115.5248055175	0.4572077070	-0.1742988929
44.669	909	0.1237945630	1114.3807538975	0.4571409498	-0.1743056878
44.686	910	0.1238017156	1113.2373281263	0.4570740734	-0.1743038997
44.714	911	0.1238129213	1112.0926506575	0.4570070778	-0.1743141517
44.744	912	0.1238253190	1110.9467214910	0.4569404398	-0.1743216618
44.765	913	0.1238337829	1109.8089283591	0.4568729673	-0.1743182048
44.799	914	0.1238477304	1108.6629991927	0.4568066869	-0.1743131980
44.824	915	0.1238578632	1107.5151924798	0.4567375455	-0.1743184432
44.841	916	0.1238648965	1106.3730184062	0.4566700731	-0.1743189200
44.882	917	0.1238814666	1105.2283409374	0.4566035543	-0.1743211850
44.904	918	0.1238904073	1104.0836634686	0.4565354858	-0.1743213042
44.933	919	0.1239022090	1102.9402376974	0.4564674173	-0.1743310794
44.968	920	0.1239163949	1101.7955602286	0.4563994680	-0.1743456229
45.001	921	0.1239298656	1100.6552637014	0.4563339029	-0.1743487224
45.025	922	0.1239395215	1099.5105862326	0.4562617812	-0.1743544444
45.065	923	0.1239557340	1098.3652829150	0.4561970506	-0.1743596896
45.095	924	0.1239680126	1097.2237346902	0.4561281476	-0.1743676766
45.118	925	0.1239773109	1096.0828123142	0.4560610328	-0.1743732795
45.142	926	0.1239872053	1094.9456450311	0.4559927258	-0.1743718490
45.176	927	0.1240007951	1093.7940832254	0.4559247765	-0.1743822202
45.198	928	0.1240100935	1092.6594193375	0.4558579001	-0.1743888959
45.226	929	0.1240211799	1091.5203745079	0.4557888780	-0.1743899688
45.261	930	0.1240353658	1090.3794521320	0.4557220015	-0.1743928298
45.286	931	0.1240458562	1089.2404073024	0.4556520257	-0.1744045123
45.307	932	0.1240540817	1088.1001107752	0.4555853877	-0.1744214400
45.336	933	0.1240661218	1086.9660727361	0.4555149350	-0.1744212016
45.365	934	0.1240776851	1085.8307829994	0.4554477009	-0.1744124993
45.397	935	0.1240909174	1084.6917381699	0.4553786788	-0.1744207248
45.424	936	0.1241016462	1083.5583259796	0.4553100142	-0.1744251355
45.448	937	0.1241116598	1082.4186553013	0.4552415881	-0.1744368180
45.482	938	0.1241253688	1081.2864948086	0.4551719698	-0.1744530305
45.504	939	0.1241345480	1080.1518309207	0.4551046166	-0.1744502887
45.530	940	0.1241449192	1079.0184187304	0.4550361905	-0.1744426593
45.553	941	0.1241544559	1077.8875099353	0.4549672875	-0.1744415864
45.581	942	0.1241657808	1076.7515943498	0.4548988613	-0.1744545802
45.620	943	0.1241816356	1075.6231889500	0.4548284086	-0.1744753226
45.645	944	0.1241916492	1074.4916543062	0.4547614130	-0.1744694814
45.676	945	0.1242044046	1073.3626230575	0.4546920332	-0.1744592294
45.706	946	0.1242164447	1072.2329659601	0.4546218189	-0.1744567260
45.739	947	0.1242300346	1071.1070639555	0.4545538696	-0.1744521960
45.766	948	0.1242407634	1069.9792844045	0.4544846090	-0.1744481429
45.793	949	0.1242518499	1068.8558857951	0.4544146332	-0.1744390830
45.824	950	0.1242647245	1067.7268545465	0.4543483528	-0.1744353875
45.855	951	0.1242772415	1066.6059593323	0.4542787346	-0.1744334802
45.880	952	0.1242871359	1065.4800573278	0.4542074474	-0.1744386062
45.908	953	0.1242985799	1064.3541553232	0.4541386637	-0.1744412288
45.930	954	0.1243077591	1063.2395185971	0.4540714296	-0.1744370564
45.965	955	0.1243220642	1062.1117390461	0.4540015730	-0.1744343146
45.996	956	0.1243344619	1060.9920955296	0.4539314779	-0.1744316920
46.019	957	0.1243439987	1059.8743295595	0.4538620981	-0.1744310960
46.049	958	0.1243561580	1058.7590669846	0.4537912878	-0.1744277581
46.072	959	0.1243652179	1057.6400493169	0.4537232193	-0.1744247779
46.106	960	0.1243790462	1056.5222833468	0.4536526474	-0.1744239434
46.133	961	0.1243900135	1055.4120275624	0.4535872015	-0.1744252547
46.158	962	0.1244005039	1054.2905064994	0.4535154375	-0.1744343146
46.187	963	0.1244123056	1053.1802507150	0.4534460576	-0.1744309768
46.227	964	0.1244285181	1052.0674915354	0.4533769163	-0.1744284734
46.256	965	0.1244403198	1050.9559840534	0.4533084901	-0.1744159564
46.295	966	0.1244560554	1049.8476058154	0.4532388719	-0.1744124993
46.319	967	0.1244658306	1048.7417309726	0.4531683000	-0.1744155988
46.340	968	0.1244745329	1047.6314751882	0.4530993970	-0.1744210824
46.374	969	0.1244880035	1046.5306071359	0.4530302556	-0.1744248971
46.405	970	0.1245009973	1045.4197255027	0.4529596837	-0.1744285926
46.432	971	0.1245117262	1044.3138506600	0.4528907807	-0.1744254931
46.454	972	0.1245209053	1043.2148601541	0.4528229507	-0.1744433745
46.477	973	0.1245300844	1042.1102370089	0.4527504714	-0.1744465932
46.502	974	0.1245403364	1041.0056138638	0.4526833566	-0.1744456395
46.542	975	0.1245563104	1039.9072492067	0.4526118310	-0.1744470700
46.565	976	0.1245659664	1038.8045036080	0.4525437625	-0.1744448051
46.593	977	0.1245771721	1037.7130232878	0.4524748595	-0.1744450435
46.620	978	0.1245882585	1036.6134069332	0.4524045260	-0.1744421824
46.647	979	0.1245992258	1035.5206749154	0.4523331197	-0.1744508847
46.671	980	0.1246091202	1034.4285687464	0.4522631438	-0.1744486198
46.701	981	0.1246211603	1033.3308299381	0.4521932871	-0.1744535073
46.729	982	0.1246324852	1032.2412271643	0.4521237881	-0.1744525537
46.762	983	0.1246458366	1031.1466176001	0.4520553620	-0.1744518384
46.796	984	0.1246596649	1030.0620216168	0.4519851477	-0.1744612559
46.819	985	0.1246689632	1028.9742963895	0.4519144566	-0.1744600638
46.846	986	0.1246799305	1027.8828160693	0.4518424542	-0.1744628057
46.869	987	0.1246895864	1026.7975942372	0.4517754586	-0.1744630441
46.901	988	0.1247024610	1025.7192567420	0.4517069132	-0.1744662627
46.921	989	0.1247104481	1024.6334090610	0.4516361029	-0.1744676932
46.947	990	0.1247212961	1023.5519423218	0.4515673191	-0.1744691237
46.981	991	0.1247350052	1022.4729789777	0.4514982969	-0.1744696006
47.008	992	0.1247460916	1021.3958931801	0.4514286787	-0.1744730577
47.044	993	0.1247605160	1020.3181815337	0.4513577492	-0.1744725808
47.065	994	0.1247689798	1019.2410957361	0.4512883694	-0.1744768724
47.098	995	0.1247824505	1018.1683908801	0.4512188704	-0.1744777068
47.125	996	0.1247935369	1017.0944343266	0.4511515171	-0.1744810447
47.150	997	0.1248036697	1016.0254845634	0.4510821373	-0.1744828328
47.182	998	0.1248169020	1014.9540314051	0.4510104925	-0.1744828328
47.216	999	0.1248304918	1013.8807007003	0.4509403974	-0.1744824752
47.245	1000	0.1248424128	1012.8186352741	0.4508716137	-0.1744710311
47.265	1001	0.1248505190	1011.7546923014	0.4508012802	-0.1744785413
47.295	1002	0.1248627976	1010.6876200847	0.4507317812	-0.1744794950
47.323	1003	0.1248740032	1009.6255546585	0.4506629974	-0.1744805678
47.353	1004	0.1248861626	1008.5616116858	0.4505920679	-0.1744818791
47.375	1005	0.1248951033	1007.5020496548	0.4505231649	-0.1744761571
47.407	1006	0.1249083355	1006.4431134726	0.4504546196	-0.1744806871
47.440	1007	0.1249216869	1005.3835514416	0.4503842861	-0.1744909391
47.459	1008	0.1249291971	1004.3289962011	0.4503133565	-0.1744802102
47.492	1009	0.1249429062	1003.2788219022	0.4502437383	-0.1744972571
47.522	1010	0.1249550655	1002.2223891152	0.4501755506	-0.1744974956
47.555	1011	0.1249681786	1001.1734665140	0.4501043826	-0.1744866475
47.578	1012	0.1249775961	1000.1232922151	0.4500347644	-0.1744860515
47.610	1013	0.1249905899	999.0706145209	0.4499639541	-0.1744780644
47.640	1014	0.1250029877	998.0266987101	0.4498958856	-0.1744798526
47.669	1015	0.1250145510	996.9809053529	0.4498251945	-0.1744757995
47.689	1016	0.1250226572	995.9332344492	0.4497561723	-0.1744780644
47.718	1017	0.1250344589	994.8905703360	0.4496875077	-0.1744767531
47.746	1018	0.1250461414	993.8554164085	0.4496184855	-0.1744732961
47.785	1019	0.1250616387	992.8171332370	0.4495464831	-0.1744799718
47.799	1020	0.1250675991	991.7738432749	0.4494788915	-0.1744763955
47.831	1021	0.1250805929	990.7361859522	0.4494079619	-0.1744709119
47.857	1022	0.1250910834	989.7041612687	0.4493406087	-0.1744732961
47.891	1023	0.1251047924	988.6690073412	0.4492707520	-0.1744750842
47.918	1024	0.1251158789	987.6357309601	0.4492012530	-0.1744824752
47.950	1025	0.1251289919	986.6062096719	0.4491329461	-0.1744898662
47.967	1026	0.1251359060	985.5760625348	0.4490622550	-0.1744924888
47.993	1027	0.1251462773	984.5490446418	0.4489954978	-0.1744927272
48.030	1028	0.1251615360	983.5251559928	0.4489269524	-0.1744947537
48.058	1029	0.1251727417	982.4993897974	0.4488556653	-0.1744946345
48.080	1030	0.1251815632	981.4767528460	0.4487866431	-0.1744998797
48.101	1031	0.1251901463	980.4516124995	0.4487195282	-0.1745066747
48.138	1032	0.1252054051	979.4333564897	0.4486485987	-0.1745146617
48.162	1033	0.1252149418	978.4157263288	0.4485795765	-0.1745219335
48.196	1034	0.1252286509	977.3999737144	0.4485112696	-0.1745294437
48.223	1035	0.1252397373	976.3842210999	0.4484414130	-0.1745319470
48.249	1036	0.1252504662	975.3690943342	0.4483720331	-0.1745400533
48.267	1037	0.1252577379	974.3558451149	0.4483026533	-0.1745423183
48.301	1038	0.1252715662	973.3419700469	0.4482355385	-0.1745466098
48.326	1039	0.1252816990	972.3387344085	0.4481655626	-0.1745519742
48.351	1040	0.1252919510	971.3304919797	0.4480964212	-0.1745573386
48.379	1041	0.1253032759	970.3222495510	0.4480289488	-0.1745731935
48.412	1042	0.1253165081	969.3196397614	0.4479593306	-0.1745823726
48.439	1043	0.1253274754	968.3157782743	0.4478874474	-0.1745808229
48.464	1044	0.1253377274	967.3131684848	0.4478191404	-0.1745811805
48.490	1045	0.1253482178	966.3143137881	0.4477502375	-0.1745846376
48.526	1046	0.1253629998	965.3185883354	0.4476821689	-0.1745907172
48.561	1047	0.1253770665	964.3184819411	0.4476141004	-0.1745954856
48.589	1048	0.1253883913	963.3202530933	0.4475441246	-0.1746027574
48.617	1049	0.1254000739	962.3270310358	0.4474755792	-0.1746053800
48.643	1050	0.1254103258	961.3350606760	0.4474050073	-0.1746100291
48.668	1051	0.1254204586	960.3418386186	0.4473364620	-0.1746126517
48.685	1052	0.1254273728	959.3567525957	0.4472693471	-0.1746171817
48.723	1053	0.1254429892	958.3672856311	0.4472000865	-0.1746155128
48.753	1054	0.1254553870	957.3821996082	0.4471301107	-0.1746184930
48.774	1055	0.1254636124	956.3971135853	0.4470629959	-0.1746229037
48.815	1056	0.1254801825	955.4139051088	0.4469933776	-0.1746273145
48.839	1057	0.1254899577	954.4319483299	0.4469259052	-0.1746269569
48.866	1058	0.1255010441	953.4568758879	0.4468565254	-0.1746282682
48.894	1059	0.1255124882	952.4793000507	0.4467895297	-0.1746292218
48.916	1060	0.1255214289	951.4973432718	0.4467211036	-0.1746312484
48.936	1061	0.1255296544	950.5254000739	0.4466519622	-0.1746299371
48.962	1062	0.1255401448	949.5528310271	0.4465843705	-0.1746285066
48.990	1063	0.1255515889	948.5796361315	0.4465153483	-0.1746289834
49.016	1064	0.1255620793	947.6064412359	0.4464469222	-0.1746282682
49.052	1065	0.1255768612	946.6382531308	0.4463773040	-0.1746288642
49.081	1066	0.1255885437	945.6756976650	0.4463085202	-0.1746282682
